time,open,high,low,close,adjClose,volume,ma_long,ma_short,position,prediction,position,fees,pnl,capital,total_profit,total_loss,count_profit,count_loss
2007-12-03 00:00:00,25.98,26.305714,25.385714,25.551428,22.119802,240367400.0,22.119802,22.119802,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-12-04 00:00:00,25.307142,25.842857,25.284286,25.687143,22.237297,193449900.0,22.178549500000003,22.178549500000003,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-12-05 00:00:00,26.127142,26.571428,26.058571,26.5,22.940983,223100500.0,22.432694,22.432694,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-12-06 00:00:00,26.598572,27.157143,26.588572,27.135714,23.49132,224952700.0,22.697350500000002,22.697350500000002,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-12-07 00:00:00,27.219999,27.855715,26.862858,27.757143,24.029287,266516600.0,22.9637378,22.9637378,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-12-10 00:00:00,27.655714,27.951429,27.527143,27.744286,24.018152,180594400.0,23.139473499999998,23.139473499999998,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-12-11 00:00:00,27.821428,28.118572,26.77,26.934286,23.316942,277731300.0,23.164826142857144,23.338996833333336,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-12-12 00:00:00,27.634285,27.782858,26.537144,27.265715,23.603859,306415200.0,23.21970525,23.566757166666665,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-12-13 00:00:00,27.17,27.445715,26.831429,27.404285,23.72382,216154400.0,23.275717999999998,23.69723,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-12-14 00:00:00,27.195715,27.6,27.077143,27.198572,23.545734,168578200.0,23.3027196,23.706299,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-12-17 00:00:00,27.245714,27.521429,26.139999,26.342857,22.804941,256173400.0,23.257467,23.50224133333333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-12-18 00:00:00,26.645714,26.761429,25.514286,26.139999,22.629332,305650800.0,23.205122416666665,23.270771333333332,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-12-19 00:00:00,26.139999,26.377142,25.842857,26.16,22.646641,206869600.0,23.162162307692306,23.1590545,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-12-20 00:00:00,26.49,26.832857,26.190001,26.744286,23.152458,193514300.0,23.16146914285714,23.083821,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-12-21 00:00:00,27.16,27.701429,27.127142,27.701429,23.981054,248490200.0,23.216108133333332,23.126693333333332,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
